TEXT,cEXT,cNEU,cAGR,cCON,cOPN
Stress slides off me like rain on glass Art museums feel like playgrounds Punctuality is my silent love language Being right matters more than being liked I thrive when surrounded by lively conversations,y,n,n,y,y
"Order calms me like deep breathing I process setbacks, then move forward Fiction rarely appeals compared to manuals Small talk drains my battery to red Kindness feels like common sense in motion",n,n,y,y,n
I catch storms of doubt over clear skies Small talk drains my battery to red Competition tastes sweeter than compromise I prefer facts over fantasies I lose track of time when ideas spark,n,y,n,n,n
Worry rarely finds a foothold in my mind I offer smiles as default greetings Silence bores me; I chase the next social spark I finish tasks before they have time to worry me I collect perspectives the way others collect stamps,y,n,y,y,y
"I chase new experiences like constellations I replay mistakes in my mind like scratched vinyl Silence bores me; I chase the next social spark Punctuality is my silent love language I listen first, judge later, if ever",y,y,y,y,y
"I thrive when surrounded by lively conversations Helping others paints colour into my day Worry rarely finds a foothold in my mind I rely on proven methods, not wild notions Order calms me like deep breathing",y,n,y,y,n
"I rely on proven methods, not wild notions My mood is a calm lake at dawn Sarcasm is my native dialect Calendars and lists guide my every sunrise Meeting new faces feels like opening surprise gifts",y,n,n,y,n
"Sarcasm is my native dialect Plans are suggestions, not iron gates Quiet corners are my favourite kingdoms I prefer facts over fantasies I replay mistakes in my mind like scratched vinyl",n,y,n,n,n
I lose track of time when ideas spark Tiny worries grow into forests in my head Books on quantum poetry excite me Competition tastes sweeter than compromise Crowds blur my thoughts; I prefer one deep voice,n,y,n,n,y
"I harvest energy from solitude and soft music I finish tasks before they have time to worry me Change is interesting— from a safe distance Gentle words soften the hardest debates I process setbacks, then move forward",n,n,y,y,n
"Competition tastes sweeter than compromise I double‑check locks, lights, and lines of code Worry rarely finds a foothold in my mind I thrive when surrounded by lively conversations I rely on proven methods, not wild notions",y,n,n,y,n
Quiet corners are my favourite kingdoms Stress lingers even in calm rooms Formality suffocates my freeform workflow Art museums feel like playgrounds Debates are battles I aim to win,n,y,n,n,y
Gentle words soften the hardest debates Small talk drains my battery to red Worry rarely finds a foothold in my mind I prefer facts over fantasies Deadlines feel like friendly checkpoints,n,n,y,y,n
"Gentle words soften the hardest debates I process setbacks, then move forward Abstract ideas glitter brighter than gold I thrive when surrounded by lively conversations Deadlines bend to my last‑minute miracles",y,n,y,n,y
"After social storms, I retreat into books Stress slides off me like rain on glass Plans are suggestions, not iron gates I question every rule before following I speak blunt truths even if they cut",n,n,n,n,y
Optimism anchors me against dark currents Punctuality is my silent love language I talk my ideas into existence with anyone nearby Art museums feel like playgrounds Being right matters more than being liked,y,n,n,y,y
I harvest energy from solitude and soft music Abstract ideas glitter brighter than gold Worry rarely finds a foothold in my mind Gentle words soften the hardest debates Order calms me like deep breathing,n,n,y,y,y
"After social storms, I retreat into books I replay mistakes in my mind like scratched vinyl I lose track of time when ideas spark Being right matters more than being liked Books on quantum poetry excite me",n,y,n,n,y
Calendars and lists guide my every sunrise Art museums feel like playgrounds I talk my ideas into existence with anyone nearby Helping others paints colour into my day Mood swings arrive without invitation or warning,y,y,y,y,y
"Worry rarely finds a foothold in my mind My desk is chaos where creativity blooms Small talk drains my battery to red Fiction rarely appeals compared to manuals I listen first, judge later, if ever",n,n,y,n,n
Debates are battles I aim to win Spontaneity steers my daily map Quiet corners are my favourite kingdoms Tiny worries grow into forests in my head Practical solutions beat abstract theories,n,y,n,n,n
"Quiet corners are my favourite kingdoms Stress lingers even in calm rooms Helping others paints colour into my day Plans are suggestions, not iron gates Art museums feel like playgrounds",n,y,y,n,y
"After social storms, I retreat into books I chase new experiences like constellations My desk is chaos where creativity blooms Helping others paints colour into my day Anxiety knots itself around my late‑night thoughts",n,y,y,n,y
Deadlines bend to my last‑minute miracles Fiction rarely appeals compared to manuals Anxiety knots itself around my late‑night thoughts I harvest energy from solitude and soft music Competition tastes sweeter than compromise,n,y,n,n,n
"After social storms, I retreat into books Tradition steadies my steps like a familiar song Mood swings arrive without invitation or warning I’d rather make peace than score points My desk is chaos where creativity blooms",n,y,y,n,n
Spontaneity steers my daily map Tiny worries grow into forests in my head I value honesty above fragile feelings Parties feel like home turf where I refuel Tradition steadies my steps like a familiar song,y,y,n,n,n
I lose track of time when ideas spark Being right matters more than being liked Abstract ideas glitter brighter than gold Stress lingers even in calm rooms Parties feel like home turf where I refuel,y,y,n,n,y
Sarcasm is my native dialect Stress slides off me like rain on glass Deadlines bend to my last‑minute miracles Crowded rooms charge my spirit like electricity Books on quantum poetry excite me,y,n,n,n,y
"I value honesty above fragile feelings I question every rule before following I catch storms of doubt over clear skies Meeting new faces feels like opening surprise gifts I double‑check locks, lights, and lines of code",y,y,n,y,y
Worry rarely finds a foothold in my mind Abstract ideas glitter brighter than gold Being right matters more than being liked Deadlines feel like friendly checkpoints I thrive when surrounded by lively conversations,y,n,n,y,y
I’d rather make peace than score points My desk is chaos where creativity blooms Anxiety knots itself around my late‑night thoughts Practical solutions beat abstract theories Meeting new faces feels like opening surprise gifts,y,y,y,n,n
"I lose track of time when ideas spark I question every rule before following After social storms, I retreat into books Helping others paints colour into my day Optimism anchors me against dark currents",n,n,y,n,y
"Stress lingers even in calm rooms I collect perspectives the way others collect stamps Competition tastes sweeter than compromise Deadlines bend to my last‑minute miracles After social storms, I retreat into books",n,y,n,n,y
Parties feel like home turf where I refuel I lose track of time when ideas spark Tiny worries grow into forests in my head I offer smiles as default greetings Abstract ideas glitter brighter than gold,y,y,y,n,y
Practical solutions beat abstract theories Long talks exhaust me faster than a night run I lose track of time when ideas spark Anxiety knots itself around my late‑night thoughts I speak blunt truths even if they cut,n,y,n,n,n
Deadlines feel like friendly checkpoints I thrive when surrounded by lively conversations I breathe evenly through most tempests Helping others paints colour into my day Books on quantum poetry excite me,y,n,y,y,y
